personId,season_year,personName,position,games_played,minutes_float,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,fg_percentage,three_pt_percentage,ft_percentage,avg_minutes,avg_points,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_fouls
203083,2019-20,Andre Drummond,C,57,1878.2166666666667,418,784,5,35,169,294,250,614,864,152,109,93,203,201,1010,-191,0.5331632653061225,0.14285714285714285,0.5748299319727891,32.951169590643275,17.719298245614034,15.157894736842104,2.6666666666666665,1.912280701754386,1.631578947368421,3.56140350877193,3.526315789473684
203083,2020-21,Andre Drummond,C,46,1241.5833333333333,282,572,0,8,123,205,166,385,551,94,63,49,124,149,687,-105,0.493006993006993,0.0,0.6,26.990942028985504,14.934782608695652,11.978260869565217,2.0434782608695654,1.3695652173913044,1.065217391304348,2.6956521739130435,3.239130434782609
203083,2021-22,Andre Drummond,C,73,1436.7833333333333,247,433,0,3,86,164,229,451,680,131,78,68,115,192,580,39,0.5704387990762124,0.0,0.524390243902439,19.681963470319634,7.945205479452055,9.315068493150685,1.7945205479452055,1.0684931506849316,0.9315068493150684,1.5753424657534247,2.6301369863013697
203083,2022-23,Andre Drummond,N/A,67,849.1333333333333,166,274,0,3,67,125,138,306,444,33,45,27,75,117,399,25,0.6058394160583942,0.0,0.536,12.67363184079602,5.955223880597015,6.626865671641791,0.4925373134328358,0.6716417910447762,0.40298507462686567,1.1194029850746268,1.7462686567164178
203083,2023-24,Andre Drummond,C,79,1351.2833333333333,267,480,0,3,129,218,265,443,708,37,73,48,81,140,663,26,0.55625,0.0,0.591743119266055,17.104852320675104,8.39240506329114,8.962025316455696,0.46835443037974683,0.9240506329113924,0.6075949367088608,1.0253164556962024,1.7721518987341771
203084,2012-13,Harrison Barnes,F,81,2057.5666666666666,276,628,52,145,144,190,53,280,333,98,52,14,101,140,748,48,0.4394904458598726,0.3586206896551724,0.7578947368421053,25.402057613168722,9.234567901234568,4.111111111111111,1.2098765432098766,0.6419753086419753,0.1728395061728395,1.2469135802469136,1.728395061728395
203084,2013-14,Harrison Barnes,F/G,78,2203.766666666667,271,679,66,190,130,181,66,245,311,116,65,20,84,158,738,-50,0.39911634756995584,0.3473684210526316,0.7182320441988951,28.253418803418807,9.461538461538462,3.9871794871794872,1.4871794871794872,0.8333333333333334,0.2564102564102564,1.0769230769230769,2.0256410256410255
203084,2014-15,Harrison Barnes,F,82,2318.35,316,656,87,215,108,150,117,336,453,116,61,19,71,146,827,531,0.4817073170731707,0.4046511627906977,0.72,28.272560975609753,10.085365853658537,5.524390243902439,1.4146341463414633,0.7439024390243902,0.23170731707317074,0.8658536585365854,1.7804878048780488
203084,2015-16,Harrison Barnes,F,66,2041.5833333333333,295,633,82,214,102,134,77,248,325,117,41,10,57,136,774,451,0.4660347551342812,0.38317757009345793,0.7611940298507462,30.933080808080806,11.727272727272727,4.924242424242424,1.7727272727272727,0.6212121212121212,0.15151515151515152,0.8636363636363636,2.0606060606060606
203084,2016-17,Harrison Barnes,F,79,2803.5333333333333,599,1280,78,222,242,281,93,301,394,116,65,15,102,128,1518,-135,0.46796875,0.35135135135135137,0.8612099644128114,35.48776371308017,19.21518987341772,4.987341772151899,1.4683544303797469,0.8227848101265823,0.189873417721519,1.2911392405063291,1.620253164556962
203084,2017-18,Harrison Barnes,F/G,77,2634.4666666666667,537,1208,119,333,259,313,77,391,468,152,49,14,118,94,1452,-327,0.4445364238410596,0.35735735735735735,0.8274760383386581,34.21385281385282,18.857142857142858,6.077922077922078,1.974025974025974,0.6363636363636364,0.18181818181818182,1.5324675324675325,1.2207792207792207
203084,2018-19,Harrison Barnes,F,77,2532.5833333333335,431,1027,174,441,229,278,57,304,361,115,50,13,98,122,1265,-54,0.4196689386562804,0.3945578231292517,0.8237410071942446,32.89069264069264,16.428571428571427,4.688311688311688,1.4935064935064934,0.6493506493506493,0.16883116883116883,1.2727272727272727,1.5844155844155845
203084,2019-20,Harrison Barnes,F,72,2481.65,365,793,102,268,214,267,77,278,355,159,43,12,88,93,1046,-124,0.46027742749054223,0.3805970149253731,0.8014981273408239,34.46736111111111,14.527777777777779,4.930555555555555,2.2083333333333335,0.5972222222222222,0.16666666666666666,1.2222222222222223,1.2916666666666667
203084,2020-21,Harrison Barnes,F,58,2102.4333333333334,319,642,100,256,195,235,64,321,385,201,43,11,93,75,933,-57,0.4968847352024922,0.390625,0.8297872340425532,36.24885057471265,16.086206896551722,6.637931034482759,3.4655172413793105,0.7413793103448276,0.1896551724137931,1.603448275862069,1.293103448275862
203084,2021-22,Harrison Barnes,F,77,2586.733333333333,391,834,142,360,341,413,82,350,432,186,53,14,118,94,1265,-374,0.46882494004796166,0.39444444444444443,0.8256658595641646,33.593939393939394,16.428571428571427,5.6103896103896105,2.4155844155844157,0.6883116883116883,0.18181818181818182,1.5324675324675325,1.2207792207792207
203084,2022-23,Harrison Barnes,F,82,2662.0666666666666,374,791,132,353,350,413,87,279,366,128,57,10,86,103,1230,255,0.47281921618204803,0.37393767705382436,0.847457627118644,32.46422764227642,15.0,4.463414634146342,1.5609756097560976,0.6951219512195121,0.12195121951219512,1.048780487804878,1.2560975609756098
203084,2023-24,Harrison Barnes,F,82,2380.883333333333,347,732,149,385,157,196,67,182,249,99,54,12,58,98,1000,-80,0.47404371584699456,0.38701298701298703,0.8010204081632653,29.035162601626016,12.195121951219512,3.0365853658536586,1.2073170731707317,0.6585365853658537,0.14634146341463414,0.7073170731707317,1.1951219512195121
203085,2012-13,Austin Rivers,G,61,1417.5666666666666,145,390,28,86,59,108,16,93,109,127,26,9,74,122,377,-158,0.3717948717948718,0.32558139534883723,0.5462962962962963,23.23879781420765,6.180327868852459,1.7868852459016393,2.081967213114754,0.4262295081967213,0.14754098360655737,1.2131147540983607,2.0
203085,2013-14,Austin Rivers,G,69,1338.7666666666667,192,474,36,99,110,173,26,103,129,160,45,9,77,134,530,-16,0.4050632911392405,0.36363636363636365,0.6358381502890174,19.4024154589372,7.681159420289855,1.8695652173913044,2.318840579710145,0.6521739130434783,0.13043478260869565,1.1159420289855073,1.9420289855072463
203085,2014-15,Austin Rivers,G,76,1563.0166666666667,203,496,39,131,85,126,27,125,152,155,48,14,65,146,530,-128,0.4092741935483871,0.29770992366412213,0.6746031746031746,20.566008771929823,6.973684210526316,2.0,2.039473684210526,0.631578947368421,0.18421052631578946,0.8552631578947368,1.9210526315789473
